name,korean_name,initial_count,current_count,increase,increase_percent,recommendation_count,comment_count,post_date,post_title,last_accessed,last_updated,url
snu_sex_traffic,서울대 성매매,195,196,1,0.51,0,0,2025-06-08 11:11:07,,2025-08-05,2025-08-06 04:42:56,https://gall.dcinside.com/board/view/?id=seouluniversity&no=232624&page=1
skku_sex_traffic_1,성균관대 성매매 1부,150,151,1,0.67,0,0,2025-06-17 19:38:37,,2025-08-05,2025-08-06 04:43:06,https://gall.dcinside.com/board/view/?id=skku&no=309198&page=1
sejong_sex_traffic_2,세종대 성매매 2부,130,131,1,0.77,0,0,2025-06-17 19:38:40,,2025-08-05,2025-08-06 04:43:08,https://gall.dcinside.com/board/view/?id=sejong&no=260427&page=1
hanyang_sex_traffic_3,한양대 성매매 3부,150,151,1,0.67,0,0,2025-06-17 19:38:42,,2025-08-05,2025-08-06 04:43:11,https://gall.dcinside.com/board/view/?id=hanyang&no=202401&page=1
dongguk_sex_traffic,동국대 성매매,114,115,1,0.88,0,0,2025-06-18 07:45:26,,2025-08-05,2025-08-06 04:43:15,https://gall.dcinside.com/board/view/?id=dongguk&no=128382&page=1
hongik_sex_traffic,홍익대 성매매,114,115,1,0.88,0,0,2025-06-18 07:50:25,,2025-08-05,2025-08-06 04:43:20,https://gall.dcinside.com/board/view/?id=hongik&no=195876&page=1
cau_sex_traffic,중앙대 성매매,128,129,1,0.78,0,0,2025-06-18 07:53:53,,2025-08-05,2025-08-06 04:43:22,https://gall.dcinside.com/board/view/?id=cau&no=372601&page=1
yonsei_sex_traffic,연세대 성매매,111,112,1,0.9,0,0,2025-06-18 07:54:55,,2025-08-05,2025-08-06 04:43:24,https://gall.dcinside.com/board/view/?id=yonseiuniversity&no=156824&page=1
sogang_sex_traffic,서강대 성매매,145,146,1,0.69,0,0,2025-06-19 10:38:27,,2025-08-05,2025-08-06 04:43:26,https://gall.dcinside.com/board/view/?id=sogang&no=649175&page=1
hufs_sex_traffic,한국외대 성매매,161,162,1,0.62,0,0,2025-06-19 10:31:49,,2025-08-05,2025-08-06 04:45:39,https://gall.dcinside.com/board/view/?id=hufs&no=248760&page=1
konkuk_sex_traffic,건국대 성매매,118,119,1,0.85,0,0,2025-06-19 10:32:43,,2025-08-05,2025-08-06 04:45:41,https://gall.dcinside.com/board/view/?id=konkuk&no=205779&page=1
sungshin_sex_traffic,성신여대 성매매,89,90,1,1.12,0,0,2025-06-19 10:33:26,,2025-08-05,2025-08-06 04:45:44,https://gall.dcinside.com/board/view/?id=sungshin&no=36916&page=1
duksung_sex_traffic,덕성여대 성매매,97,98,1,1.03,0,0,2025-06-19 10:34:00,,2025-08-05,2025-08-06 04:45:46,https://gall.dcinside.com/board/view/?id=duksung&no=22870&page=1
sookmyung_sex_traffic,숙명여대 성매매,94,95,1,1.06,0,0,2025-06-19 10:34:36,,2025-08-05,2025-08-06 04:45:50,https://gall.dcinside.com/board/view/?id=sookmyungwomans_univ&no=22558&page=1
suwon_womens_sex_traffic,수원여대 성매매,80,81,1,1.25,0,0,2025-06-19 10:35:47,,2025-08-05,2025-08-06 04:45:53,https://gall.dcinside.com/mini/board/view/?id=swu&no=31&page=1
univ_sex_traffic,대학생 성매매,96,97,1,1.04,0,1,2025-06-19 10:36:18,,2025-08-05,2025-08-06 04:45:54,https://gall.dcinside.com/mgallery/board/view/?id=univ&no=473&page=1
ewha_sex_traffic,이화여대 성매매,96,97,1,1.04,0,0,2025-06-19 10:30:56,,2025-08-05,2025-08-06 04:45:58,https://gall.dcinside.com/board/view/?id=ewhawomans_univ&no=41262&page=1
dongdeok_womens_faculty_firing,동덕여대 교수 해고,104,105,1,0.96,0,0,2025-06-28 10:04:36,,2025-08-05,2025-08-06 04:45:59,https://gall.dcinside.com/board/view/?id=dongduk&no=466746&page=1
seoul_national_faculty_firing,서울대 교수 해고,101,102,1,0.99,0,0,2025-06-28 10:01:44,,2025-08-05,2025-08-06 04:46:05,https://gall.dcinside.com/board/view/?id=seouluniversity&no=232910&page=1
chungang_faculty_firing,중앙대 교수 해고,114,115,1,0.88,0,0,2025-06-28 10:14:55,,2025-08-05,2025-08-06 04:46:10,https://gall.dcinside.com/board/view/?id=cau&no=372639&page=1
